"","animal.ID","age.years","age.class","Sex","BCS.Average","elevation","CAA.Estimate","Result","x.east","y.south"
"65",67,13.9,"Adult","Female",3.5,210.117172241211,7,"negative",389980.553246595,7226988.0851387
"66",68,5.7,"Adult","Female",4.5,213.746109008789,9,"negative",388768.388316682,7227171.8430419
"67",69,4.5,"Adult","Female",4.25,213.746109008789,25,"negative",388768.388316682,7227171.8430419
"68",71,1.25,"Subadult","Male",3.5,213.746109008789,1,"negative",388768.388316682,7227171.8430419
"69",73,1.25,"Subadult","Male",3.25,213.746109008789,NA,"negative",388768.388316682,7227171.8430419
"70",74,2,"Subadult","Female",3.75,309.794799804688,1,"negative",388894.457172402,7247381.41654379
"71",75,1,"Calf","Male",4.25,309.794799804688,9,"negative",388894.457172402,7247381.41654379
"72",76,1,"Calf","Male",3.75,309.794799804688,12,"negative",388894.457172402,7247381.41654379
"73",77,1.5,"Subadult","Male",4,309.794799804688,NA,"negative",388894.457172402,7247381.41654379
"74",78,1,"Calf","Female",3.75,309.794799804688,NA,"negative",388894.457172402,7247381.41654379
"75",79,8.5,"Adult","Female",3.5,313.408020019531,NA,"negative",388593.432630139,7249012.83699549
"76",80,5.9,"Adult","Female",4.25,313.408020019531,22,"negative",388593.432630139,7249012.83699549
"77",81,9.9,"Adult","Female",4.75,313.408020019531,53,"positive",388593.432630139,7249012.83699549
"78",82,12.6,"Adult","Female",4.5,313.408020019531,33,"positive",388593.432630139,7249012.83699549
"79",83,1.5,"Subadult","Male",3.75,468.659149169922,5,"negative",326048.744609758,7229286.85673643
"80",84,1.25,"Subadult","Female",4.5,468.659149169922,2,"negative",326048.744609758,7229286.85673643
"81",85,2,"Subadult","Male",4,468.659149169922,26,"negative",326048.744609758,7229286.85673643
"82",86,2.5,"Subadult","Female",4.5,468.659149169922,1372,"positive",326048.744609758,7229286.85673643
"83",87,1.5,"Subadult","Female",4.25,468.659149169922,NA,"negative",326048.744609758,7229286.85673643
"84",88,2,"Subadult","Female",4.25,468.659149169922,NA,"negative",326048.744609758,7229286.85673643
"85",89,1.25,"Subadult","Male",3.25,502.094390869141,18,"negative",324623.035651314,7226985.42789969
"86",90,1,"Calf","Female",3,502.094390869141,2,"negative",324623.035651314,7226985.42789969
"87",91,1.5,"Subadult","Male",3.5,502.094390869141,NA,"negative",324623.035651314,7226985.42789969
"88",92,1,"Calf","Male",3.75,502.094390869141,66,"positive",324623.035651314,7226985.42789969
"89",93,1,"Calf","Male",4.25,544.506591796875,224,"positive",321452.97678196,7222565.04762702
"90",94,4,"Subadult","Female",4,544.506591796875,38,"positive",321452.97678196,7222565.04762702
"91",95,1.25,"Subadult","Male",4.25,544.506591796875,71,"positive",321452.97678196,7222565.04762702
"92",96,1,"Calf","Male",3.75,544.506591796875,NA,"negative",321452.97678196,7222565.04762702
"93",97,1,"Calf","Female",4.25,544.506591796875,NA,"negative",321452.97678196,7222565.04762702
