animal.ID,T/C Ratio,CAA Estimate,Result,age.years,age.class,Sex,Section,BCS.Average
415,0.01,NA,negative,1,Subadult,Female,Mahlangeni,4
416,0.01,NA,negative,1.5,Calf,Female,Mahlangeni,3.75
417,0.01,NA,negative,2,Subadult,Female,Mahlangeni,3.25
418,0.017,6,negative,1.5,Subadult,Female,Mahlangeni,3.5
419,0.015,3,negative,1.5,Subadult,Male,Mahlangeni,3
420,0.011,NA,negative,1.5,Subadult,Female,,4
421,0.01,NA,negative,1.75,Subadult,Female,,4
422,0.009,NA,negative,1.25,Subadult,Male,,3.75
423,0.009,NA,negative,1.75,Subadult,Male,,3.5
424,0.009,NA,negative,1.5,Subadult,Male,,3
425,0.009,NA,negative,1.5,Subadult,Male,,3.5
426,0.015,4,negative,1.25,Subadult,Male,,3.25
427,0.012,NA,negative,9.15,Adult,Female,Pafuri,4
428,0.009,NA,negative,14.55,Adult,Female,Pafuri,4
429,0.011,NA,negative,1.25,Subadult,Male,Pafuri,4
430,0.026,21,negative,1.25,Subadult,Female,Pafuri,4.25
431,0.009,NA,negative,1.25,Subadult,Female,Pafuri,4.5
432,0.011,NA,negative,1.5,Subadult,Male,Pafuri,4
433,0.019,9,negative,1.25,Subadult,Male,Pafuri,3.75
434,0.009,NA,negative,1.25,Subadult,Male,Pafuri,3.75
435,0.013,1,negative,1.5,Subadult,Male,Pafuri,3.25
436,0.012,NA,negative,2.5,Subadult,Female,Pafuri,3.75
437,0.011,NA,negative,3,Subadult,Female,Pafuri,4.5
438,0.009,NA,negative,0.5,Calf,Female,Pafuri,4
439,0.006,NA,negative,2.5,Subadult,Female,Pafuri,4.25
440,0.014,3,negative,1.5,Subadult,Male,Pafuri,3.25
441,0.013,1,negative,1.5,Subadult,Female,Pafuri,4.5
442,0.007,NA,negative,1.25,Subadult,Male,Pafuri,3
443,0.019,10,negative,1.5,Subadult,Male,Pafuri,3.5
444,0.014,2,negative,13.54,Adult,Female,Pafuri,3.5
445,0.013,0,negative,13.94,Adult,Female,Shingwedzi,3.25
446,0.017,6,negative,9.88,Adult,Female,Shingwedzi,4
447,0.016,4,negative,16.21,Adult,Female,Shingwedzi,4.25
449,0.034,33,positive,1.5,Subadult,Male,Shingwedzi,3.5
450,0.01,NA,negative,1.75,Subadult,Female,Shingwedzi,4.5
451,0.016,5,negative,1.5,Subadult,Male,Shingwedzi,3.75
452,0.013,1,negative,13.02,Adult,Female,Shingwedzi,3.75
453,0.01,NA,negative,NA,NA,NA,NA,NA
454,0.021,12,negative,1.5,Subadult,Female,Shingwedzi,3.75
455,0.013,11,negative,1.25,Subadult,Female,Shingwedzi,3.25
456,0.007,NA,negative,1.5,Subadult,Female,Shingwedzi,4
457,0.012,9,negative,15.08,Adult,Female,Shingwedzi,3.75
458,0.011,7,negative,9.13,Adult,Female,Shingwedzi,4
459,0.011,7,negative,13.58,Adult,Female,Shingwedzi,3.75
460,0.019,22,negative,1.5,Subadult,Male,Shingwedzi,3.75
461,0.012,9,negative,1.75,Subadult,Female,Shingwedzi,3.5
462,0.021,26,negative,1,Calf,Male,Shingwedzi,3.75
463,0.011,6,negative,7.5,Adult,Female,Shingwedzi,4
464,0.009,2,negative,NA,NA,NA,NA,NA
465,0.012,9,negative,15.48,Adult,Female,Shingwedzi,4.75
466,0.009,3,negative,1.5,Subadult,Female,Shingwedzi,4
467,1.291,3456,positive,1.75,Subadult,Male,Shingwedzi,3.75
468,0.01,4,negative,1.25,Subadult,Male,Shingwedzi,3.5
469,0.014,12,negative,9.57,Adult,Female,Vlakteplaas,3.5
470,0.006,NA,negative,10.36,Adult,Female,Vlakteplaas,4.25
471,0.041,66,positive,12.54,Adult,Female,Vlakteplaas,4.75
472,0.01,4,negative,1,Calf,Female,Vlakteplaas,4.25
473,0.015,15,negative,1,Calf,Female,Vlakteplaas,3
474,0.066,116,positive,1,Calf,Male,Vlakteplaas,3.25
475,0.014,12,negative,1.5,Subadult,Male,Vlakteplaas,3.75
476,0.01,5,negative,1.25,Subadult,Male,Vlakteplaas,3.5
477,0.057,99,positive,1.5,Subadult,Female,Vlakteplaas,3.75
478,0.009,2,negative,1.25,Subadult,Female,Vlakteplaas,4
479,0.407,863,positive,1.5,Subadult,Female,Vlakteplaas,3.75
480,0.019,23,negative,1.25,Subadult,Male,Vlakteplaas,3.5
481,0.009,2,negative,1.5,Subadult,Female,Vlakteplaas,3.75
482,0.009,2,negative,1.75,Subadult,Female,Vlakteplaas,4.5
483,0.012,9,negative,1.5,Subadult,Male,Vlakteplaas,4
484,0.01,4,negative,1.75,Subadult,Male,Vlakteplaas,3.25
485,0.011,6,negative,1,Calf,Male,Vlakteplaas,3.25
486,0.006,NA,negative,1.5,Subadult,Female,Vlakteplaas,4
487,0.008,0,negative,1.75,Subadult,Female,Vlakteplaas,4.25
488,0.012,9,negative,2.5,Subadult,Female,Vlakteplaas,4
489,0.009,2,negative,1.5,Subadult,Male,Vlakteplaas,3.5
490,0.011,6,negative,1.25,Subadult,Female,Vlakteplaas,3.5
491,0.011,6,negative,1.25,Subadult,Female,Vlakteplaas,4
492,0.011,6,negative,1.5,Subadult,Female,Vlakteplaas,3.75
493,0.009,2,negative,1.5,Subadult,Female,Vlakteplaas,3.75
494,0.009,2,negative,1.5,Subadult,Male,Vlakteplaas,4
495,0.015,15,negative,1.5,Subadult,Female,Vlakteplaas,3.75
496,0.011,7,negative,1.5,Subadult,Female,Vlakteplaas,4
497,0.023,29,negative,1.5,Subadult,Male,Vlakteplaas,4.25
498,0.017,17,negative,2,Subadult,Female,Shingwedzi,3.75
499,0.126,240,positive,2,Subadult,Female,Shingwedzi,4
500,0.007,NA,negative,3.5,Subadult,Female,Shingwedzi,3.75
501,0.01,5,negative,1.5,Subadult,Female,Shingwedzi,4
502,0.012,8,negative,2,Subadult,Male,Shingwedzi,4.5
503,0.022,28,negative,2.5,Subadult,Female,Shingwedzi,4.25
504,0.01,5,negative,1.5,Subadult,Female,Shingwedzi,4
505,0.008,NA,negative,NA,NA,NA,NA,NA
506,0.023,31,positive,1.5,Subadult,Female,Shingwedzi,4
507,0.007,NA,negative,1.25,Subadult,Female,Shingwedzi,4.25
508,0.011,6,negative,1.25,Subadult,Female,Shingwedzi,3.75
509,0.748,1734,positive,1.5,Subadult,Male,Shingwedzi,4
510,0.011,7,negative,1.5,Subadult,Male,Shingwedzi,3.75
511,0.011,6,negative,1.25,Subadult,Male,Shingwedzi,4
512,0.104,195,positive,1.5,Subadult,Male,Shingwedzi,3.25
513,0.008,1,negative,2.5,Subadult,Male,Shingwedzi,3.5
514,0.012,9,negative,1.5,Subadult,Female,Shingwedzi,3.75
515,0.011,6,negative,1.25,Subadult,Female,Shingwedzi,3.25
516,0.012,9,negative,1.5,Subadult,Female,Shingwedzi,3.25
517,0.012,9,negative,2,Subadult,Male,Shingwedzi,3.25
518,0.01,4,negative,2.5,Subadult,Female,Shingwedzi,4
519,0.01,5,negative,1.25,Subadult,Female,Shingwedzi,3.25
520,0.012,8,negative,1.5,Subadult,Female,Shingwedzi,3.25
521,0.011,7,negative,1.5,Subadult,Female,Shingwedzi,3
522,0.026,37,positive,2.5,Subadult,Female,Shingwedzi,4.25
523,0.011,6,negative,1.75,Subadult,Male,Shingwedzi,4.25
524,0.016,16,negative,1.5,Subadult,Female,Shingwedzi,3.75
525,0.023,29,negative,1.25,Subadult,Male,Shingwedzi,3.75
526,0.008,1,negative,NA,NA,NA,NA,NA
527,0.065,114,positive,1.5,Subadult,Female,Shingwedzi,3.75
528,0.013,11,negative,1.5,Subadult,Female,Shingwedzi,3.5
529,0.019,22,negative,1.5,Subadult,Female,Shingwedzi,3.75
530,0.01,5,negative,1.25,Subadult,Female,Pafuri,3.75
531,0.011,6,negative,3,Subadult,Female,Pafuri,3.75
532,0.01,5,negative,1.75,Subadult,Male,Pafuri,3.25
533,0.012,8,negative,1.5,Subadult,Female,Pafuri,3.5
534,0.016,15,negative,1.5,Subadult,Female,Pafuri,3.5
535,0.012,8,negative,3,Subadult,Female,Pafuri,3.75
536,0.006,NA,negative,1.5,Subadult,Female,Pafuri,4.25
537,0.012,9,negative,1.5,Subadult,Female,Pafuri,4
538,0.011,7,negative,1.75,Subadult,Female,Pafuri,3.5
539,0.013,11,negative,1.25,Subadult,Male,Pafuri,3.75
540,0.009,2,negative,1.5,Subadult,Female,Pafuri,3.25
541,0.011,7,negative,1.5,Subadult,Male,Pafuri,4.25
542,0.013,11,negative,1.5,Subadult,Male,Pafuri,3
543,0.019,22,negative,1.25,Subadult,Female,Pafuri,3.75
544,0.006,NA,negative,2.5,Subadult,Female,Pafuri,4.25
545,0.032,53,positive,3,Subadult,Male,Pafuri,4
546,0.012,5,negative,NA,NA,NA,NA,NA
547,0.009,NA,negative,1.5,Subadult,Female,Pafuri,4
548,0.007,NA,negative,1.5,Subadult,Male,Pafuri,4
549,0.065,129,positive,1.5,Subadult,Male,Pafuri,4
550,0.011,NA,negative,1.5,Subadult,Male,Pafuri,3.5
551,0.009,NA,negative,1.75,Subadult,Male,Pafuri,3.75
552,0.011,1,negative,1.25,Subadult,Female,Pafuri,4
553,4.373,10593,positive,1.5,Subadult,Female,Pafuri,3.75
554,0.009,NA,negative,1.5,Subadult,Male,Pafuri,3.5
555,0.012,3,negative,1.25,Subadult,Female,Pafuri,4.25
556,0.009,NA,negative,1.5,Subadult,Female,Shingwedzi,4
557,0.009,NA,negative,1.5,Subadult,Male,Shingwedzi,4.25
558,0.009,NA,negative,1.75,Subadult,Female,Shingwedzi,3.5
559,0.007,NA,negative,4.5,Subadult,Female,Punda Maria,3.75
560,0.008,NA,negative,11.61,Adult,Female,Punda Maria,4.25
561,0.009,NA,negative,NA,NA,NA,NA,NA
562,0.011,2,negative,1.5,Subadult,Male,Pafuri,3.5
563,0.005,NA,negative,5.5,Subadult,Female,Pafuri,3.5
564,0.248,520,positive,2,Subadult,Male,Pafuri,3.5
565,0.009,NA,negative,1.5,Subadult,Female,Pafuri,4
566,0.008,NA,negative,1.5,Subadult,Male,Pafuri,3
567,0.011,0,negative,5.5,Subadult,Female,Pafuri,3.25
568,0.006,NA,negative,1.25,Subadult,Female,Pafuri,3.5
569,0.009,NA,negative,1.5,Subadult,Male,Pafuri,3.75
570,0.016,14,negative,2,Subadult,Female,Pafuri,3.5
571,0.01,NA,negative,1.25,Subadult,Female,Pafuri,3.75
572,0.011,2,negative,1.25,Subadult,Female,Pafuri,4
573,0.011,1,negative,1.75,Subadult,Male,Pafuri,3.25
574,0.012,5,negative,1.5,Subadult,Male,Pafuri,3.25
575,0.009,NA,negative,1.5,Subadult,Male,Pafuri,3.5
576,0.012,3,negative,1.75,Subadult,Male,Pafuri,3.5
577,0.007,NA,negative,NA,NA,NA,NA,NA
578,0.008,NA,negative,1.25,Subadult,Female,Pafuri,3
579,0.007,NA,negative,2,Subadult,Male,Pafuri,3.5
580,0.007,NA,negative,1.25,Subadult,Female,Pafuri,3.25
581,0.014,10,negative,1.25,Subadult,Female,Pafuri,3.5
582,0.01,NA,negative,1.25,Subadult,Male,Pafuri,3.5
583,0.013,5,negative,1.25,Subadult,Male,Pafuri,2.75
584,0.005,NA,negative,1.25,Subadult,Male,Pafuri,3.25
585,0.008,NA,negative,1.5,Subadult,Female,Pafuri,3.5
586,0.39,813,positive,1.5,Subadult,Female,Pafuri,3
587,0.006,NA,negative,1.5,Subadult,Male,Pafuri,3.25
588,0.008,NA,negative,1.5,Subadult,Male,Pafuri,3.25
589,0.004,NA,negative,2.5,Subadult,Male,Pafuri,3.5
590,0.011,1,negative,1.75,Subadult,Female,Pafuri,3
591,0.006,NA,negative,1.25,Subadult,Male,Punda Maria,3.5
592,0.006,NA,negative,1.25,Subadult,Female,Punda Maria,3.25
593,0.005,NA,negative,2,Subadult,Female,Punda Maria,3.75
594,0.007,NA,negative,1.5,Subadult,Female,Punda Maria,3
595,0.012,4,negative,1.5,Subadult,Male,Punda Maria,3.5
596,0.013,6,negative,1.5,Subadult,Male,Punda Maria,3.5
597,0.01,NA,negative,2.75,Subadult,Female,Punda Maria,3.75
598,0.008,NA,negative,1.25,Subadult,Male,Punda Maria,3.5
599,0.008,NA,negative,1.5,Subadult,Female,Punda Maria,4
600,0.012,5,negative,1.5,Subadult,Male,Punda Maria,3.75
601,0.006,NA,negative,1.5,Subadult,Male,Punda Maria,3.5
602,0.013,7,negative,1.5,Subadult,Male,Punda Maria,3.5
603,0.013,8,negative,1.75,Subadult,Male,Punda Maria,3.75
