d.vec,Cor.M,Model
0,1,log_CAA
1.000100010001,0.999999147824765,log_CAA
2.000200020002,0.999996875410797,log_CAA
3.000300030003,0.999993343611827,log_CAA
4.000400040004,0.999988638087397,log_CAA
5.000500050005,0.999982818655089,log_CAA
6.000600060006,0.999975931437255,log_CAA
7.000700070007,0.999968014008959,log_CAA
8.000800080008,0.999959098086968,log_CAA
9.000900090009,0.999949211117134,log_CAA
10.00100010001,0.999938377291518,log_CAA
11.001100110011,0.999926618239881,log_CAA
12.001200120012,0.999913953521449,log_CAA
13.001300130013,0.999900400987235,log_CAA
14.001400140014,0.999885977054763,log_CAA
15.001500150015,0.999870696921354,log_CAA
16.001600160016,0.999854574733053,log_CAA
17.001700170017,0.999837623720695,log_CAA
18.001800180018,0.999819856311147,log_CAA
19.001900190019,0.9998012842194,log_CAA
20.00200020002,0.999781918525684,log_CAA
21.002100210021,0.999761769740685,log_CAA
22.002200220022,0.999740847861194,log_CAA
23.002300230023,0.999719162417971,log_CAA
24.002400240024,0.999696722517216,log_CAA
25.002500250025,0.999673536876736,log_CAA
26.002600260026,0.999649613857675,log_CAA
27.002700270027,0.999624961492502,log_CAA
28.002800280028,0.999599587509834,log_CAA
29.002900290029,0.999573499356537,log_CAA
30.00300030003,0.999546704217508,log_CAA
31.003100310031,0.999519209033432,log_CAA
32.003200320032,0.999491020516804,log_CAA
33.003300330033,0.999462145166408,log_CAA
34.003400340034,0.999432589280476,log_CAA
35.003500350035,0.999402358968648,log_CAA
36.003600360036,0.999371460162908,log_CAA
37.003700370037,0.999339898627587,log_CAA
38.003800380038,0.999307679968543,log_CAA
39.003900390039,0.99927480964161,log_CAA
40.00400040004,0.999241292960384,log_CAA
41.004100410041,0.999207135103422,log_CAA
42.004200420042,0.999172341120902,log_CAA
43.004300430043,0.999136915940808,log_CAA
44.004400440044,0.99910086437467,log_CAA
45.004500450045,0.999064191122915,log_CAA
46.004600460046,0.999026900779857,log_CAA
47.004700470047,0.99898899783835,log_CAA
48.004800480048,0.998950486694151,log_CAA
49.004900490049,0.998911371650001,log_CAA
50.00500050005,0.998871656919454,log_CAA
51.005100510051,0.998831346630476,log_CAA
52.005200520052,0.998790444828832,log_CAA
53.005300530053,0.998748955481265,log_CAA
54.005400540054,0.998706882478512,log_CAA
55.005500550055,0.99866422963813,log_CAA
56.005600560056,0.998621000707184,log_CAA
57.005700570057,0.998577199364776,log_CAA
58.005800580058,0.998532829224451,log_CAA
59.005900590059,0.998487893836471,log_CAA
60.00600060006,0.998442396689969,log_CAA
61.006100610061,0.998396341215009,log_CAA
62.006200620062,0.998349730784523,log_CAA
63.006300630063,0.998302568716172,log_CAA
64.006400640064,0.998254858274108,log_CAA
65.006500650065,0.998206602670655,log_CAA
66.006600660066,0.99815780506791,log_CAA
67.006700670067,0.998108468579277,log_CAA
68.006800680068,0.998058596270921,log_CAA
69.006900690069,0.99800819116317,log_CAA
70.00700070007,0.997957256231845,log_CAA
71.007100710071,0.997905794409538,log_CAA
72.007200720072,0.997853808586836,log_CAA
73.007300730073,0.997801301613491,log_CAA
74.007400740074,0.997748276299541,log_CAA
75.007500750075,0.997694735416392,log_CAA
76.007600760076,0.997640681697844,log_CAA
77.007700770077,0.997586117841093,log_CAA
78.007800780078,0.997531046507676,log_CAA
79.007900790079,0.997475470324393,log_CAA
80.00800080008,0.997419391884187,log_CAA
81.008100810081,0.997362813746992,log_CAA
82.008200820082,0.997305738440551,log_CAA
83.008300830083,0.997248168461202,log_CAA
84.008400840084,0.997190106274637,log_CAA
85.008500850085,0.997131554316633,log_CAA
86.008600860086,0.997072514993756,log_CAA
87.008700870087,0.99701299068404,log_CAA
88.008800880088,0.996952983737649,log_CAA
89.008900890089,0.996892496477507,log_CAA
90.00900090009,0.996831531199909,log_CAA
91.009100910091,0.99677009017512,log_CAA
92.009200920092,0.99670817564794,log_CAA
93.009300930093,0.996645789838263,log_CAA
94.009400940094,0.996582934941612,log_CAA
95.009500950095,0.996519613129656,log_CAA
96.009600960096,0.996455826550712,log_CAA
97.009700970097,0.996391577330235,log_CAA
98.009800980098,0.996326867571286,log_CAA
99.009900990099,0.99626169935499,log_CAA
100.0100010001,0.996196074740979,log_CAA
101.010101010101,0.996129995767823,log_CAA
102.010201020102,0.996063464453443,log_CAA
103.010301030103,0.995996482795519,log_CAA
104.010401040104,0.995929052771884,log_CAA
105.010501050105,0.9958611763409,log_CAA
106.010601060106,0.995792855441831,log_CAA
107.010701070107,0.995724091995207,log_CAA
108.010801080108,0.995654887903167,log_CAA
109.010901090109,0.995585245049802,log_CAA
110.01100110011,0.995515165301486,log_CAA
111.011101110111,0.995444650507199,log_CAA
112.011201120112,0.995373702498835,log_CAA
113.011301130113,0.995302323091511,log_CAA
114.011401140114,0.995230514083862,log_CAA
115.011501150115,0.995158277258328,log_CAA
116.011601160116,0.995085614381436,log_CAA
117.011701170117,0.995012527204075,log_CAA
118.011801180118,0.994939017461762,log_CAA
119.011901190119,0.994865086874898,log_CAA
120.01200120012,0.994790737149027,log_CAA
121.012101210121,0.994715969975081,log_CAA
122.012201220122,0.994640787029617,log_CAA
123.012301230123,0.994565189975057,log_CAA
124.012401240124,0.994489180459916,log_CAA
125.012501250125,0.994412760119021,log_CAA
126.012601260126,0.994335930573737,log_CAA
127.012701270127,0.994258693432171,log_CAA
128.012801280128,0.994181050289389,log_CAA
129.012901290129,0.994103002727611,log_CAA
130.01300130013,0.994024552316415,log_CAA
131.013101310131,0.993945700612926,log_CAA
132.013201320132,0.993866449162011,log_CAA
