x,y,value,Group,Fill
333148.070760863,7171561.80730248,0.00249600461863606,1,0
333580.823298716,7171561.80730248,0.00251254623838829,1,0
334013.575836569,7171561.80730248,0.00252514929162148,1,0
334446.328374423,7171561.80730248,0.00253775234485466,1,0
334879.080912276,7171561.80730248,0.00255035539808784,1,0
335311.833450129,7171561.80730248,0.00256295845132102,1,0
335744.585987982,7171561.80730248,0.00257640890012626,1,0
336177.338525836,7171561.80730248,0.00259127338628104,1,0
336610.091063689,7171561.80730248,0.00260613787243583,1,0
337042.843601542,7171561.80730248,0.00262082643032621,1,0
337475.596139395,7171561.80730248,0.00263549657970459,1,0
337908.348677249,7171561.80730248,0.00265016672908298,1,0
338341.101215102,7171561.80730248,0.00266483687846136,1,0
338773.853752955,7171561.80730248,0.00267950702783975,1,0
339206.606290808,7171561.80730248,0.00269417717721814,1,0
339639.358828662,7171561.80730248,0.00271433216212079,1,0
340072.111366515,7171561.80730248,0.00273479181305708,1,0
340504.863904368,7171561.80730248,0.00275413943816425,1,0
340937.616442221,7171561.80730248,0.00276686735092317,1,0
341370.368980075,7171561.80730248,0.0027795952636821,1,0
341803.121517928,7171561.80730248,0.00279232317644103,1,0
342235.874055781,7171561.80730248,0.00280505108919996,1,0
342668.626593634,7171561.80730248,0.00281777900195889,1,0
343101.379131487,7171561.80730248,0.00283050691471782,1,0
343534.131669341,7171561.80730248,0.00284329513496645,1,0
343966.884207194,7171561.80730248,0.00285792592235278,1,0
344399.636745047,7171561.80730248,0.0028725567097391,1,0
344832.389282901,7171561.80730248,0.00288718749712543,1,0.003
345265.141820754,7171561.80730248,0.00290181828451176,1,0.003
345697.894358607,7171561.80730248,0.00291243315593138,1,0.003
346130.64689646,7171561.80730248,0.00291426525438465,1,0.003
346563.399434314,7171561.80730248,0.00291609735283792,1,0.003
346996.151972167,7171561.80730248,0.0029179294512912,1,0.003
347428.90451002,7171561.80730248,0.00291976154974447,1,0.003
347861.657047873,7171561.80730248,0.00292159364819774,1,0.003
348294.409585726,7171561.80730248,0.00292342574665102,1,0.003
348727.16212358,7171561.80730248,0.00292525784510429,1,0.003
349159.914661433,7171561.80730248,0.0029257489042844,1,0.003
349592.667199286,7171561.80730248,0.00292563637379655,1,0.003
350025.41973714,7171561.80730248,0.0029255238433087,1,0.003
350458.172274993,7171561.80730248,0.00292082286634808,1,0.003
350890.924812846,7171561.80730248,0.00290647071308509,1,0.003
351323.677350699,7171561.80730248,0.0028921185598221,1,0.003
351756.429888552,7171561.80730248,0.00287776640655911,1,0
352189.182426406,7171561.80730248,0.00286341425329612,1,0
352621.934964259,7171561.80730248,0.00284906210003313,1,0
353054.687502112,7171561.80730248,0.00283470994677014,1,0
353487.440039965,7171561.80730248,0.00282035779350715,1,0
353920.192577819,7171561.80730248,0.00280600564024416,1,0
354352.945115672,7171561.80730248,0.00278209918629692,1,0
354785.697653525,7171561.80730248,0.00275485772839839,1,0
355218.450191378,7171561.80730248,0.00270361105860054,1,0
355651.202729232,7171561.80730248,0.00264902776047133,1,0
356083.955267085,7171561.80730248,0.00259444446234212,1,0
356516.707804938,7171561.80730248,0.0025398611642129,1,0
356949.460342791,7171561.80730248,0.00248527786608368,1,0
357382.212880645,7171561.80730248,0.00243069456795447,1,0
357814.965418498,7171561.80730248,0.00237611126982525,1,0
358247.717956351,7171561.80730248,0.00232152797169604,1,0
358680.470494204,7171561.80730248,0.00226694467356683,1,0
359113.223032058,7171561.80730248,0.00221236137543761,1,0
359545.975569911,7171561.80730248,0.0021577780773084,1,0
359978.728107764,7171561.80730248,0.00210319477917918,1,0
360411.480645617,7171561.80730248,0.00204861148104997,1,0
360844.233183471,7171561.80730248,0.00199402818292075,1,0
361276.985721324,7171561.80730248,0.00193944488479154,1,0
361709.738259177,7171561.80730248,0.00188486158666232,1,0
362142.49079703,7171561.80730248,0.00183027828853311,1,0
362575.243334884,7171561.80730248,0.0017756949904039,1,0
363007.995872737,7171561.80730248,0.00172168299507977,1,0
363440.74841059,7171561.80730248,0.00166802350895527,1,0
363873.500948443,7171561.80730248,0.00157021204800425,1,0
364306.253486297,7171561.80730248,0.00145824618662631,1,0
364739.00602415,7171561.80730248,0.00134628032524838,1,0
365171.758562003,7171561.80730248,0.00123732171490256,1,0
365604.511099856,7171561.80730248,0.00115278907354981,1,0
366037.26363771,7171561.80730248,0.00106825643219706,1,0
366470.016175563,7171561.80730248,0.000983723790844312,1,0
366902.768713416,7171561.80730248,0.000899191149491574,1,0
367335.521251269,7171561.80730248,0.000814658508138824,1,0
