"","log_CAA"
"Intercept",0.998418505712002
"log.age",0.0264346744332412
"BCS.Average",0.672140705413018
"elevation.std",0.892694619679924
"fall.23.EVI.std",0.89802931535302
"spring.22.EVI.std",0.627265294788091
