"","log_CAA"
"Intercept",0.996411141158428
"log.age",0.0228252897388852
"BCS.Average",0.738952640150212
"elevation.std",0.842561234263601
"fall.23.EVI.std",0.903565252559106
"spring.22.EVI.std",0.509349551436126
